*******************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC
**********************************************
$$SOE
 2015-Apr-12 00:00     02 23 01.69 +14 12 44.5
 2015-Apr-13 00:00     02 25 52.42 +14 27 28.3
 2015-Apr-14 00:00     02 28 43.34 +14 42 03.5
 2015-Apr-15 00:00     02 31 34.46 +14 56 29.8
 2015-Apr-16 00:00     02 34 25.77 +15 10 47.1
 2015-Apr-17 00:00     02 37 17.28 +15 24 55.3
 2015-Apr-18 00:00     02 40 08.99 +15 38 54.3
 2015-Apr-19 00:00     02 43 00.90 +15 52 44.0
 2015-Apr-20 00:00     02 45 53.00 +16 06 24.2
 2015-Apr-21 00:00     02 48 45.30 +16 19 54.8
 2015-Apr-22 00:00     02 51 37.80 +16 33 15.7
 2015-Apr-23 00:00     02 54 30.48 +16 46 26.8
 2015-Apr-24 00:00     02 57 23.37 +16 59 27.9
 2015-Apr-25 00:00     03 00 16.44 +17 12 19.0
 2015-Apr-26 00:00     03 03 09.70 +17 24 59.9
 2015-Apr-27 00:00     03 06 03.16 +17 37 30.6
 2015-Apr-28 00:00     03 08 56.80 +17 49 50.9
 2015-Apr-29 00:00     03 11 50.64 +18 02 00.7
 2015-Apr-30 00:00     03 14 44.66 +18 13 59.9
 2015-May-01 00:00     03 17 38.88 +18 25 48.5
 2015-May-02 00:00     03 20 33.28 +18 37 26.3
 2015-May-03 00:00     03 23 27.87 +18 48 53.2
 2015-May-04 00:00     03 26 22.65 +19 00 09.2
 2015-May-05 00:00     03 29 17.62 +19 11 14.1
 2015-May-06 00:00     03 32 12.77 +19 22 08.0
 2015-May-07 00:00     03 35 08.11 +19 32 50.6
 2015-May-08 00:00     03 38 03.64 +19 43 21.9
 2015-May-09 00:00     03 40 59.35 +19 53 41.9
 2015-May-10 00:00     03 43 55.24 +20 03 50.4
 2015-May-11 00:00     03 46 51.31 +20 13 47.4
 2015-May-12 00:00     03 49 47.56 +20 23 32.8
 2015-May-13 00:00     03 52 43.99 +20 33 06.5
 2015-May-14 00:00     03 55 40.58 +20 42 28.5
 2015-May-15 00:00     03 58 37.34 +20 51 38.6
 2015-May-16 00:00     04 01 34.26 +21 00 36.9
 2015-May-17 00:00     04 04 31.33 +21 09 23.2
 2015-May-18 00:00     04 07 28.55 +21 17 57.5
 2015-May-19 00:00     04 10 25.91 +21 26 19.7
 2015-May-20 00:00     04 13 23.40 +21 34 29.8
 2015-May-21 00:00     04 16 21.01 +21 42 27.6
 2015-May-22 00:00     04 19 18.75 +21 50 13.1
 2015-May-23 00:00     04 22 16.59 +21 57 46.4
 2015-May-24 00:00     04 25 14.53 +22 05 07.2
 2015-May-25 00:00     04 28 12.57 +22 12 15.6
 2015-May-26 00:00     04 31 10.70 +22 19 11.5
 2015-May-27 00:00     04 34 08.90 +22 25 54.9
 2015-May-28 00:00     04 37 07.19 +22 32 25.7
 2015-May-29 00:00     04 40 05.54 +22 38 43.9
 2015-May-30 00:00     04 43 03.96 +22 44 49.5
 2015-May-31 00:00     04 46 02.43 +22 50 42.4
 2015-Jun-01 00:00     04 49 00.96 +22 56 22.6
 2015-Jun-02 00:00     04 51 59.52 +23 01 50.0
 2015-Jun-03 00:00     04 54 58.13 +23 07 04.7
 2015-Jun-04 00:00     04 57 56.76 +23 12 06.7
 2015-Jun-05 00:00     05 00 55.42 +23 16 55.8
 2015-Jun-06 00:00     05 03 54.10 +23 21 32.1
 2015-Jun-07 00:00     05 06 52.80 +23 25 55.6
 2015-Jun-08 00:00     05 09 51.50 +23 30 06.2
 2015-Jun-09 00:00     05 12 50.20 +23 34 04.0
 2015-Jun-10 00:00     05 15 48.89 +23 37 49.0
 2015-Jun-11 00:00     05 18 47.57 +23 41 21.1
 2015-Jun-12 00:00     05 21 46.22 +23 44 40.3
